trial,winner,amount,bidder0_value,bidder0_bid,bidder1_value,bidder1_bid,bidder2_value,bidder2_bid,bidder3_value,bidder3_bid,bidder4_value,bidder4_bid
0,Bidder1,99.34,31.53,99.34,82.41,75.69,48.29,31.53,99.34,82.41,75.69,48.29
1,Bidder1,79.97,39.62,79.97,14.30,31.40,5.46,39.62,79.97,14.30,31.40,5.46
2,Bidder3,71.15,31.50,39.00,33.23,71.15,22.53,31.50,39.00,33.23,71.15,22.53
3,Bidder0,90.76,90.76,24.17,61.43,6.40,42.20,90.76,24.17,61.43,6.40,42.20
4,Bidder2,94.86,92.24,52.01,94.86,73.74,11.57,92.24,52.01,94.86,73.74,11.57
5,Bidder0,96.83,96.83,78.79,70.08,65.41,30.32,96.83,78.79,70.08,65.41,30.32
6,Bidder1,76.44,55.62,76.44,49.60,38.47,42.06,55.62,76.44,49.60,38.47,42.06
7,Bidder0,60.55,60.55,19.65,23.21,1.26,39.00,60.55,19.65,23.21,1.26,39.00
8,Bidder1,76.01,42.19,76.01,69.20,51.00,76.00,42.19,76.01,69.20,51.00,76.00
9,Bidder3,96.60,12.02,26.75,33.46,96.60,71.29,12.02,26.75,33.46,96.60,71.29
10,Bidder0,95.71,95.71,3.30,66.64,81.13,25.06,95.71,3.30,66.64,81.13,25.06
11,Bidder0,41.18,41.18,22.82,24.81,5.28,2.33,41.18,22.82,24.81,5.28,2.33
12,Bidder4,94.67,94.29,61.46,87.29,4.54,94.67,94.29,61.46,87.29,4.54,94.67
13,Bidder3,87.96,87.34,86.94,18.50,87.96,39.85,87.34,86.94,18.50,87.96,39.85
14,Bidder3,61.62,23.91,19.41,20.99,61.62,6.08,23.91,19.41,20.99,61.62,6.08
15,Bidder0,95.20,95.20,47.99,3.15,47.32,87.09,95.20,47.99,3.15,47.32,87.09
16,Bidder1,87.06,37.43,87.06,21.98,25.31,6.47,37.43,87.06,21.98,25.31,6.47
17,Bidder3,99.70,57.87,82.32,27.80,99.70,45.36,57.87,82.32,27.80,99.70,45.36
18,Bidder0,86.89,86.89,85.14,82.62,70.89,39.79,86.89,85.14,82.62,70.89,39.79
19,Bidder4,92.25,11.85,91.39,17.00,40.45,92.25,11.85,91.39,17.00,40.45,92.25
20,Bidder0,91.23,91.23,76.92,58.73,54.10,5.13,91.23,76.92,58.73,54.10,5.13
21,Bidder1,81.61,29.37,81.61,13.30,74.49,21.70,29.37,81.61,13.30,74.49,21.70
22,Bidder2,81.58,28.81,57.47,81.58,24.18,33.67,28.81,57.47,81.58,24.18,33.67
23,Bidder0,68.30,68.30,0.24,34.02,16.08,20.60,68.30,0.24,34.02,16.08,20.60
24,Bidder1,68.57,13.09,68.57,21.55,1.40,45.91,13.09,68.57,21.55,1.40,45.91
25,Bidder1,90.73,54.80,90.73,64.63,26.60,6.26,54.80,90.73,64.63,26.60,6.26
26,Bidder2,68.60,49.01,59.50,68.60,39.12,61.97,49.01,59.50,68.60,39.12,61.97
27,Bidder4,97.56,20.07,82.67,83.41,94.42,97.56,20.07,82.67,83.41,94.42,97.56
28,Bidder0,89.88,89.88,60.77,62.50,7.73,4.66,89.88,60.77,62.50,7.73,4.66
29,Bidder3,55.93,39.16,18.90,5.35,55.93,45.70,39.16,18.90,5.35,55.93,45.70
30,Bidder0,92.16,92.16,46.53,0.74,78.53,23.49,92.16,46.53,0.74,78.53,23.49
31,Bidder2,82.51,56.19,55.42,82.51,27.07,17.63,56.19,55.42,82.51,27.07,17.63
32,Bidder0,54.60,54.60,47.12,27.06,17.27,21.69,54.60,47.12,27.06,17.27,21.69
33,Bidder3,37.55,12.49,5.89,14.60,37.55,7.10,12.49,5.89,14.60,37.55,7.10
34,Bidder0,86.46,86.46,51.50,71.66,74.19,75.55,86.46,51.50,71.66,74.19,75.55
35,Bidder2,73.98,29.19,31.47,73.98,14.75,32.38,29.19,31.47,73.98,14.75,32.38
36,Bidder1,89.79,35.60,89.79,76.35,21.08,31.30,35.60,89.79,76.35,21.08,31.30
37,Bidder0,96.37,96.37,32.38,29.89,29.18,21.76,96.37,32.38,29.89,29.18,21.76
38,Bidder1,96.24,27.34,96.24,33.13,29.24,62.58,27.34,96.24,33.13,29.24,62.58
39,Bidder4,89.42,55.34,61.97,6.88,71.55,89.42,55.34,61.97,6.88,71.55,89.42
40,Bidder0,91.64,91.64,20.59,84.63,72.44,23.71,91.64,20.59,84.63,72.44,23.71
41,Bidder3,46.88,44.80,10.49,29.38,46.88,28.23,44.80,10.49,29.38,46.88,28.23
42,Bidder0,87.56,87.56,31.65,78.30,58.33,86.86,87.56,31.65,78.30,58.33,86.86
43,Bidder2,96.27,52.13,92.59,96.27,21.41,78.14,52.13,92.59,96.27,21.41,78.14
44,Bidder1,99.95,10.19,99.95,68.92,45.13,74.64,10.19,99.95,68.92,45.13,74.64
45,Bidder0,77.44,77.44,35.60,9.61,54.17,75.12,77.44,35.60,9.61,54.17,75.12
46,Bidder0,93.58,93.58,40.46,26.14,93.15,35.39,93.58,40.46,26.14,93.15,35.39
47,Bidder2,80.57,20.40,12.19,80.57,48.83,72.76,20.40,12.19,80.57,48.83,72.76
48,Bidder4,61.50,49.98,28.39,55.95,58.86,61.50,49.98,28.39,55.95,58.86,61.50
49,Bidder2,80.59,42.45,25.55,80.59,67.69,52.25,42.45,25.55,80.59,67.69,52.25
50,Bidder2,54.03,7.89,37.76,54.03,12.94,12.65,7.89,37.76,54.03,12.94,12.65
51,Bidder1,69.45,20.41,69.45,49.77,66.85,39.62,20.41,69.45,49.77,66.85,39.62
52,Bidder4,90.30,25.90,54.16,18.93,8.68,90.30,25.90,54.16,18.93,8.68,90.30
53,Bidder0,59.67,59.67,23.10,55.66,4.26,31.08,59.67,23.10,55.66,4.26,31.08
54,Bidder2,77.39,13.10,72.73,77.39,59.88,41.34,13.10,72.73,77.39,59.88,41.34
55,Bidder4,72.51,8.45,26.66,0.44,29.01,72.51,8.45,26.66,0.44,29.01,72.51
